Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,"1,713,126","5,767,700","651,565,900",5332281936.0,"150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,18004655.0,"22,931",4818457.0,2669262.0,,0.0,1,1.8340905738284814,-0.34993560874222174
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,"3,486,739","674,700","35,223,547",208339025.0,"156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,7780028.0,"28,444",6623075.0,1118279.0,,1.0,1,1.3605696431414385,1.2614402364117718
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,"2,228,730","3,025,400","275,154,237",3369120610.0,"373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,5022621.0,"5,639",7208651.0,5285340.0,,0.0,1,2.5339808027796087,-0.26228906048523654
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,"10,629,796","7,189,811","1,078,757,968",14603725994.0,"3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,190260277.0,"203,384",3224599.0,11822942.0,,0.0,1,5.664691784230781,-0.7752237041008698
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,"3,670,188","16,400",,265917250.0,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,4493884.0,"7,006",207179.0,457017.0,,1.0,0,0.5951865564472966,1.0255798833005598
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,"1,392,593","4,202,367","214,943,489",2938686633.0,"2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,138529362.0,"50,982",9438601.0,4517131.0,,1.0,1,2.811811166410096,1.3608916418605297
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,"4,120,760",,"29,584,940",534915313.0,"4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,65447476.0,"57,372",3224599.0,9990302.0,,0.0,1,3.270484833131907,-0.5567960488341953
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,"1,439,495","3,500,000","338,546,668",3804584163.0,"2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,3372428.0,"5,762",3224599.0,6063523.0,,1.0,1,2.576099628569729,1.030779809572237
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,1653018119.0,1.0,15.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.05913578402621441,0.9341259896051587
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,"988,682","325,800","121,574,500",974656200.0,"174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,1005626.0,842,3679709.0,666302.0,,1.0,0,1.0522820868655962,1.1864185423164124
