Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,0.0912000035995133,0.0520248445521696,0.7495198173700668,92.0,0.005162966526507,"1,713,126","5,767,700","651,565,900",0.0228625351435506,"150,597,040",0.2435897435897436,"40,975",684,62.0,"17,598,718",114.0,0.0123014192823032,"22,931","4,818,457",0.0121443461503243,,0.0,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,0.0756055725600555,0.0476159020039262,0.6655289492631553,92.0,0.007127848357947,"3,486,739","674,700","35,223,547",0.0008932681956034,"156,380,351",0.2179487179487179,"40,778",3,67.0,"10,422,430",111.0,0.0053155904672653,"28,444","6,623,075",0.0050878333457434,,1.0,3
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,0.1404444132937555,0.0920237605248047,0.8066056074371496,92.0,0.0075108765755546,"2,228,730","3,025,400","275,154,237",0.0144453423719077,"373,784,955",0.2202797202797203,"74,333",536,136.0,"36,321,847",172.0,0.0034316319350482,"5,639","7,208,651",0.0240467254186866,,0.0,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,0.4744353405249799,0.4569869798150717,0.5205736840817878,85.0,0.0671516507408608,"10,629,796","7,189,811","1,078,757,968",0.0626145060458589,"3,351,188,582",0.458041958041958,"1,474,799","2,182",264.0,"24,684,248",210.0,0.1299925866686416,"203,384",,0.0537908762083819,,0.0,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,0.0249993366235055,0.0122325712959716,0.577372502964273,88.0,0.004740194958314,"3,670,188","16,400",,0.001140138899939,"112,763,851",0.2109557109557109,"12,185",1,82.0,"17,660,624",105.0,0.0030703800116111,"7,006","207,179",0.0020792873009558,,1.0,3
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,0.1566435675758623,0.179357408903591,0.6686694778953722,83.0,0.0080346223932033,"1,392,593","4,202,367","214,943,489",0.0125998263096817,"2,867,222,632",0.1596736596736596,"522,042","4,654",86.0,"17,167,254",152.0,0.0946481856811752,"50,982","9,438,601",0.0205516022322337,,1.0,3
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,0.2102451200840546,0.1238450450633563,0.7684039431171081,86.0,0.018913609856759,"4,120,760",,"29,584,940",0.0022934870845647,"4,601,579,812",0.3251748251748251,"383,478",429,168.0,"48,197,850",154.0,0.0447160419388055,"57,372",,0.0454529075612805,,0.0,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,0.1576744558977747,0.0679092330337014,0.8051924635134635,92.0,0.0139916114661639,"1,439,495","3,500,000","338,546,668",0.0163124230962891,"2,112,581,620",0.1853146853146853,"17,221",30,87.0,"33,245,595",53.0,0.002304161386756,"5,762",,0.0275872273479839,,1.0,3
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,0.3860865440349845,0.0,5.3365166824295296e-08,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,0.021178602627344,0.0176137508871239,0.702130905036293,86.0,0.0020054414657639,"988,682","325,800","121,574,500",0.004178907180423,"174,706,874",0.2214452214452214,"3,823",117,78.0,"10,800,098",92.0,0.0006870780827793,842,"3,679,709",0.0030314720007924,,1.0,3
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,0.0584097236045704,0.0274699309440692,0.6433024373285865,91.0,0.0019744307093021,"550,191",,"184,500",9.003816782496767e-06,"327,130,768",0.1818181818181818,"62,312",71,60.0,"12,009,073",114.0,0.0158206399672004,"21,172","1,594,605",0.0043832389614115,,1.0,3
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,0.0259616718173642,1.693792757680927e-06,0.0010054226137555,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,2.0,0.0087015286325158,,,0.0038880992777336,,1.0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,0.0517661564140899,0.0233726462632391,0.7519940704590894,92.0,0.0024518905923593,"1,307,290","195,300","45,889,000",0.0015435982208941,"342,107,131",0.2832167832167832,"41,344",45,138.0,"38,243,636",163.0,0.0009255723888454,"1,219","1,313,357",0.0020489271294097,,0.0,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,0.0829587875276737,0.0728737396064641,0.4123169389429266,88.0,0.0060088248670236,"1,456,177",,,0.001140138899939,"174,491,415",0.1771561771561771,"90,237",3,55.0,"3,001,826",109.0,0.0179364790852051,"18,364","12,038,034",0.0089324920543295,,1.0,3
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,6.916179784031809e-05,0.0004674868011199,9.31755812752196e-05,12.0,0.4127061353333221,"16,785,489",3,"1,088",9.524838073447603e-08,,0.0,"1,057",,,,,0.0087015286325158,,,1.4954875449090997e-05,,0.0,2
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,0.2162002784760502,0.1754837048667747,0.3047338566110672,79.0,0.0572391781444031,"4,294,166","11,054,500","521,725,116",0.0321534953136225,"2,042,145,659",0.1083916083916083,"92,231",228,60.0,"5,633,435",83.0,0.0083156764709086,"13,242","871,978",0.012583601825745,,1.0,3
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,0.0923590603545396,0.0216517528214352,0.6782429372450072,89.0,0.0064126992583695,"2,484,083","139,300","25,348,800",0.0008888861912676,"268,893,710",0.2564102564102564,"129,968",3,99.0,"37,988,531",134.0,0.0068062335141705,"13,437","377,734",0.005505268643113,,0.0,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,0.293957288990367,0.178215792584914,0.757959106829185,87.0,0.0086778181396976,"1,514,837","2,294,429","419,319,161",0.023393654842331,"2,667,285,437",0.2400932400932401,"667,329","3,310",188.0,"21,788,568",150.0,0.030643372712952,"12,270",,0.0317280444570821,,1.0,3
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,0.0213177810700771,0.0110062653394106,0.1993095477491558,86.0,0.0009825019960927,"569,377","941,900","119,740,900",0.0052537565374779,"5,839,168",0.0874125874125874,181,1,24.0,"5,054,005",33.0,0.0001934151066598,162,"975,891",0.0011722766073053,,0.0,2
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,0.7711872971342403,0.6895735199215435,0.6471799655972303,87.0,0.0490663720983001,"9,101,589","2,755,903","1,633,970,617",0.0660538058754308,"7,289,707,052",0.5291375291375291,"1,777,811","4,909",330.0,"12,907,852",189.0,0.0906139597907848,"79,909",,0.0680971322754684,,0.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,0.2488394978877954,0.2894505505673359,0.4639422602922376,78.0,0.0147628110280571,"2,749,668","3,091,732","652,428,798",0.0304227319236754,"1,063,591,802",0.182983682983683,"400,899",273,143.0,"13,718,632",146.0,0.0480256350202982,"49,111",,0.0343949168674079,,1.0,3
