Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,0.09120000359951336,0.05202484455216966,0.7495198173700668,92.0,0.005162966526507043,"1,713,126","5,767,700","651,565,900",0.022862535143550647,"150,597,040",0.2435897435897436,"40,975",684,62.0,"17,598,718",114.0,0.012301419282303248,"22,931","4,818,457",0.012144346150324333,,0.0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,0.07560557256005557,0.04761590200392621,0.6655289492631553,92.0,0.00712784835794701,"3,486,739","674,700","35,223,547",0.0008932681956034339,"156,380,351",0.21794871794871795,"40,778",3,67.0,"10,422,430",111.0,0.005315590467265358,"28,444","6,623,075",0.005087833345743409,,1.0
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,0.14044441329375557,0.09202376052480475,0.8066056074371496,92.0,0.0075108765755546305,"2,228,730","3,025,400","275,154,237",0.01444534237190776,"373,784,955",0.2202797202797203,"74,333",536,136.0,"36,321,847",172.0,0.003431631935048271,"5,639","7,208,651",0.024046725418686694,,0.0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,0.4744353405249799,0.4569869798150717,0.5205736840817878,85.0,0.06715165074086085,"10,629,796","7,189,811","1,078,757,968",0.06261450604585897,"3,351,188,582",0.458041958041958,"1,474,799","2,182",264.0,"24,684,248",210.0,0.12999258666864164,"203,384",,0.05379087620838191,,0.0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,0.024999336623505574,0.012232571295971653,0.577372502964273,88.0,0.004740194958314011,"3,670,188","16,400",,0.0011401388999390325,"112,763,851",0.21095571095571097,"12,185",1,82.0,"17,660,624",105.0,0.003070380011611192,"7,006","207,179",0.002079287300955817,,1.0
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,0.15664356757586234,0.179357408903591,0.6686694778953722,83.0,0.00803462239320338,"1,392,593","4,202,367","214,943,489",0.012599826309681754,"2,867,222,632",0.15967365967365968,"522,042","4,654",86.0,"17,167,254",152.0,0.09464818568117521,"50,982","9,438,601",0.020551602232233776,,1.0
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,0.2102451200840546,0.12384504506335632,0.7684039431171081,86.0,0.01891360985675901,"4,120,760",,"29,584,940",0.0022934870845647613,"4,601,579,812",0.32517482517482516,"383,478",429,168.0,"48,197,850",154.0,0.04471604193880552,"57,372",,0.045452907561280564,,0.0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,0.15767445589777476,0.0679092330337014,0.8051924635134635,92.0,0.01399161146616398,"1,439,495","3,500,000","338,546,668",0.016312423096289108,"2,112,581,620",0.18531468531468534,"17,221",30,87.0,"33,245,595",53.0,0.0023041613867560134,"5,762",,0.02758722734798392,,1.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,0.3860865440349845,0.0,5.3365166824295296e-08,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,,0.008701528632515814,,,0.003888099277733657,,1.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,0.02117860262734406,0.01761375088712396,0.702130905036293,86.0,0.002005441465763995,"988,682","325,800","121,574,500",0.0041789071804230644,"174,706,874",0.22144522144522147,"3,823",117,78.0,"10,800,098",92.0,0.0006870780827793195,842,"3,679,709",0.003031472000792449,,1.0
