Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,1.0,1.0,0.6310202650294864,83.0,0.0510824419165191,"10,093,211","2,882,064","337,322,563",0.0150115451556575,"2,258,085,924",1.0,"1,695,240","1,116",564.0,"11,701,129",184.0,0.3343069984459212,"319,634","28,659,471",0.1319171019269441,,0.0,0
Blinding Lights,Blinding Lights,xSyborg,3/13/2021,QZLBC2302779,"4,229",20.5,0.9952958817743948,0.0547289846898072,0.0505424544431005,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,0.0,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,0.9131115737644572,0.5358770712968185,0.5642904439914411,80.0,0.4909707945010967,"45,770,887","2,270,315","194,420,058",0.0099508352750568,"2,294,804,623",0.5407925407925408,"402,829",282,512.0,"2,710,931",115.0,0.501198144093617,"651,557","78,149,375",0.0052150749039073,,0.0,0
Shape of You,Shape of You,xSyborg,2/20/2021,QZLBC2302789,"1,807",36.3,0.9081828159809132,0.0547289846898072,0.0505424544431005,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,0.0,0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,0.8005427215596369,0.573792622177506,0.6119990441688734,82.0,0.1319446928102215,"20,891,433","1,940,473","212,007,614",0.0092655773191137,"2,333,853,734",0.4743589743589743,"600,211",381,502.0,"4,834,088",110.0,0.2918866068284266,"357,540",,0.1331529697402586,,0.0,0
Without Me,Suicide Squad: The Album (Collector's Edition),Eminem,8/4/2016,USAT21602011,"1,696",35.5,0.5013891139645512,0.0124663146965316,0.0040625033722497,,0.1187603215116488,"13,961,810",,,0.001140138899939,"509,617,644",0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
Save Your Tears,After Hours (Deluxe),The Weeknd,3/20/2020,USUG12000669,"1,827",34.0,0.4660810368299947,0.0139958095567174,0.004404680821927,49.0,0.0090835579636131,,,,0.001140138899939,,0.078088578088578,"916,627",,29.0,"2,416,985",,0.0087015286325158,,,0.0038880992777336,,1.0,1
Kill Bill,Kill Bill - Single,pasa michaelson,8/26/2023,GB8KE2318565,"1,156",45.2,0.4304032747813482,0.0,0.0,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,0.3866838387501734,1.524413481912834e-05,2.492915650220652e-06,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,204.4,0.3866838387501734,1.3550342061447412e-05,3.201910009457719e-07,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
All of Me - Radio Edit,"ýý3 Greatest Hits, Vol. 66",John Legend,6/27/2014,USSM11400599,"3,411",23.5,0.5558342052533864,0.0006114591855228,0.0002823932156436,20.0,0.0006962291324608,"74,275",,,0.001140138899939,,0.0034965034965034,"1,684",,1.0,175,,0.0087015286325158,,"162,140,441",0.0038880992777336,,0.0,2
Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/2013,GBCEL1300332,"3,432",23.3,0.5111779554170351,0.019763173896621,0.0082632758917411,46.0,0.1053691756295422,"10,641,718",,,0.001140138899939,"276,011,994",0.0069930069930069,"86,851",,11.0,"5,205",9.0,0.0087015286325158,,,0.0038880992777336,,0.0,2
drivers license,drivers license,Olivia Rodrigo,1/8/2021,USUG12004750,"2,341",29.5,0.510281316153418,0.0167719358865565,0.0100575271543028,57.0,0.0090835579636131,,,,0.001140138899939,,0.0582750582750582,"523,873",,2.0,424,,0.0087015286325158,,,0.0038880992777336,,0.0,2
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,0.4777593847936138,0.0001626041047373,0.0018624481339655,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,2.0,0.0087015286325158,,,0.0038880992777336,,0.0,2
Flowers,Flowers (Official Video),Miley Cyrus,1/12/2023,USSM22202811,"3,752",22.1,0.4744353405249799,0.0,3.4687358435791945e-07,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,0.0,2
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,0.768722693202814,0.620151729955233,0.3736424859274053,84.0,0.1733769723733514,"14,968,547","262,780","52,707,882",0.0016099750959684,"218,584,786",0.3962703962703962,"68,441",148,118.0,"875,683",67.0,0.2263526306753251,"418,888","23,612,071",0.0711945112813583,,1.0,3
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,0.7257089233701693,0.7651386962199627,0.513805612493118,78.0,0.0770073813863689,"14,661,425","7,485,966","2,246,991,336",0.1016684903699264,"4,327,058,646",0.5967365967365967,"1,510,151","4,096",166.0,"5,783,693",128.0,0.1344494757448439,"124,922","36,341,585",0.0038880992777336,,1.0,3
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,USUM71710087,231,101.8,0.6913623583472276,0.5974752325154008,0.3142543700916173,77.0,0.1465346910447855,"23,334,015","196,242","40,652,322",0.0019591261012293,"370,252,952",0.2727272727272727,"149,051",393,122.0,"715,708",47.0,0.4158480251418608,"632,152",,0.0872026840411715,,1.0,3
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,0.5952137077563143,0.5747123516449268,0.2891558744796844,78.0,0.060476461184041,"9,384,427","1,900,813","44,442,433",0.0014495048387889,"274,498,079",0.1771561771561771,"69,562",132,54.0,"442,640",36.0,0.1772318435154755,"552,552","257,459,352",0.0423528988267597,,1.0,3
God's Plan,Diplomatic Immunity,Drake,1/20/2018,USCM51800004,278,92.9,0.5909065795676178,0.5314105397948139,0.3021465837223059,77.0,0.1250180120781348,"19,912,225","640,874","70,576,617",0.0027190795094969,"254,153,311",0.2622377622377622,"14,465",442,103.0,"898,454",76.0,0.3600948291611178,"707,727",,0.0432778490013641,,1.0,3
